"Analysis","Correlation","P_value"
"Analysis 1 - Coherence Diff",-0.0949994960764449,0.134149887627598
"Analysis 1 - Diversity Diff",0.480738882948838,7.31034849921975e-16
"Analysis 1 - Coherence Var Diff",-0.134003572668939,0.0341983976601241
"Analysis 1 - Diversity Var Diff",-0.44916662051694,8.13634269168403e-14
"Analysis 1 - Mean Composite",0.526838716294509,2.94904583213886e-19
"Analysis 1 - Var Composite",-0.524629226457086,4.40916319698957e-19
"Analysis 1 - Overall Composite",-0.105556293660608,0.0958563589314089
"Analysis 2 - Mean Distance",0.317962074742789,1.79084296310343e-08
"Analysis 2 - Var Distance",-0.137885664733761,0.016861912279721
"Analysis 2 - Combined Distance",-0.0779613408085213,0.178062883817996
